tcpdump: data link type LINUX_SLL2
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
 00:00:13.482124 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.491513 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.566632 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.578969 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.650157 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.655609 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.733531 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.741904 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.810001 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.818431 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.894730 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.894883 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.979160 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:13.979187 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.057545 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.060737 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.135950 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.140283 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.219427 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.223776 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.297857 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.312185 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.378297 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.395590 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.463694 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.479649 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.548142 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.565571 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.634327 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.646670 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.659588 eth1  Out IP 10.0.29.2.37091 > 10.0.29.3.179: Flags [S], seq 2693581977, win 64240, options [mss 1460,sackOK,TS val 1876753530 ecr 0,nop,wscale 10], length 0
 00:00:14.659641 eth1  In  IP 10.0.29.3.179 > 10.0.29.2.37091: Flags [S.], seq 870095119, ack 2693581978, win 65160, options [mss 1460,sackOK,TS val 3829508504 ecr 1876753530,nop,wscale 10], length 0
 00:00:14.659658 eth1  Out IP 10.0.29.2.37091 > 10.0.29.3.179: Flags [.], ack 1, win 63, options [nop,nop,TS val 1876753530 ecr 3829508504], length 0
 00:00:14.659712 eth1  Out IP 10.0.29.2.37091 > 10.0.29.3.179: Flags [P.], seq 1:65, ack 1, win 63, options [nop,nop,TS val 1876753530 ecr 3829508504], length 64: BGP
 00:00:14.659719 eth1  In  IP 10.0.29.3.179 > 10.0.29.2.37091: Flags [.], ack 65, win 64, options [nop,nop,TS val 3829508504 ecr 1876753530], length 0
 00:00:14.659773 eth1  In  IP 10.0.29.3.179 > 10.0.29.2.37091: Flags [R.], seq 1, ack 65, win 64, options [nop,nop,TS val 3829508504 ecr 1876753530], length 0
 00:00:14.715089 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.729659 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.793036 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.811396 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.877687 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.887022 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.958151 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:14.963421 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:15.043816 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:15.050203 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:15.120200 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:15.126453 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:15.197387 eth1  Out IP 10.0.29.2.44627 > 10.0.29.3.179: Flags [FP.], seq 2330221779:2330221800, ack 1163947268, win 63, options [nop,nop,TS val 1876754068 ecr 3829479358], length 21: BGP
 00:00:15.197442 eth1  In  IP 10.0.29.3.179 > 10.0.29.2.44627: Flags [R], seq 1163947268, win 0, length 0
 00:00:15.199560 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:15.211453 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:15.284021 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:15.292386 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:15.361342 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:15.379730 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:15.441644 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:15.463871 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:15.528197 eth1  In  IP 10.0.29.3.40325 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:15.541508 eth1  Out IP 10.0.29.2.54050 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
