tcpdump: data link type LINUX_SLL2
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
 00:00:11.078051 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.080255 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.158589 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.167875 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.239318 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.247572 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.323827 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.327191 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.404498 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.405757 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.481782 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.494214 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.568700 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.583108 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.646004 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.661392 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.726442 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.736899 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.807214 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.816144 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.889619 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.891969 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.969265 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:11.977497 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.051915 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.064167 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.141567 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.150075 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.184879 eth2  Out IP 10.0.12.3.51192 > 10.0.12.2.179: Flags [P.], seq 173:192, ack 82, win 63, options [nop,nop,TS val 625357270 ecr 396206612], length 19: BGP
 00:00:12.184938 eth2  In  IP 10.0.12.2.179 > 10.0.12.3.51192: Flags [.], ack 192, win 64, options [nop,nop,TS val 396208627 ecr 625357270], length 0
 00:00:12.221511 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.233762 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.300249 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.309576 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.390068 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.398369 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.473771 eth1  Out IP 10.0.29.2.51340 > 10.0.29.3.3784: BFDv1, Control, State Up, Flags: [none], length: 24
 00:00:12.483067 eth1  In  IP 10.0.29.3.41275 > 10.0.29.2.3784: BFDv1, Control, State Up, Flags: [none], length: 24
